stop_id,stop_name,stop_lat,stop_lon
531,Kabanana Sda Church,-15.33692555,28.3098753
532,Chimutengo Roma,-15.33890614,28.30592889
533,Pentocostal Holiness Church - Kabanana Rd,-15.33827626,28.30717282
534,Kabanana Market,-15.33769727,28.30831626
535,"ENGEN, Main St.",-15.41493679,28.37002401
536,Hilltop Hospital,-15.42045384,28.35767962
537,Mosi Road,-15.41642423,28.36179569
538,USAID,-15.42038825,28.35288117
539,Kabulonga Mall,-15.42134872,28.34366181
540,Kabulonga Mall,-15.42103447,28.34352686
541,Small Transformer Hardware,-15.46000849,28.30608567
542,Sutizya Mall,-15.46159769,28.30627542
543,Andee's,-15.45451561,28.30590699
544,Chila's,-15.45302975,28.30582923
545,Kamwala South,-15.45615429,28.30589304
546,Melvins Grocery,-15.45173973,28.30576593
547,Yalelo Bakery,-15.4487122,28.3055091
548,Mount Meru Filling Station - Kamwala South,-15.44726666,28.30536938
549,New Kabwata Seventh-Day Church,-15.4456271,28.3052847
550,Libala Primary School,-15.44162132,28.30952375
551,SDA - Libala,-15.4403264,28.3105734
552,SDA - Libala,-15.44042073,28.31053435
553,New Apostolic Church - Kamwala South,-15.45374,28.301827
554,Kamwala South Secondary School,-15.45568614,28.29762018
555,Pa Luckson Mapushi ,-15.45490583,28.29749775
556,Kingdom Embassy AFM,-15.45165959,28.29687658
557,Bobs Corner,-15.450961,28.291997
558,Spectra filling Station - Kamwala South,-15.44817122,28.29181833
